municipio_id,nombre_municipio,departamento
1,Abejorral,Antioquia
2,Acacías,Meta
3,Acandí,Chocó
4,Acevedo,Huila
5,Achí,Bolívar
6,Agrado,Huila
7,Agua de Dios,Cundinamarca
8,Aguachica,Cesar
9,Aguada,Santander
10,Aguadas,Caldas
11,Aguazul,Casanare
12,Agustín Codazzi,Cesar
13,Aipe,Huila
14,Albania,La Guajira
15,Albán,Cundinamarca
16,Alcalá,Valle del Cauca
17,Aldana,Nariño
18,Algarrobo,Magdalena
19,Algeciras,Huila
20,Almaguer,Cauca
21,Almeida,Boyacá
22,Alpujarra,Tolima
23,Altamira,Huila
24,Altos del Rosario,Bolívar
25,Alvarado,Tolima
26,Amagá,Antioquia
27,Amalfi,Antioquia
28,Ambalema,Tolima
29,Anapoima,Cundinamarca
30,Ancuyá,Nariño
31,Andalucía,Valle del Cauca
32,Andes,Antioquia
33,Angostura,Antioquia
34,Anolaima,Cundinamarca
35,Anorí,Antioquia
36,Anserma,Caldas
37,Ansermanuevo,Valle del Cauca
38,Anzoátegui,Tolima
39,Apartadó,Antioquia
40,Apulo,Cundinamarca
41,Apía,Risaralda
42,Aquitania,Boyacá
43,Aracataca,Magdalena
44,Aranzazu,Caldas
45,Aratoca,Santander
46,Arauquita,Arauca
47,Arbeláez,Cundinamarca
48,Arboleda,Nariño
49,Arboledas,Norte de Santander
50,Arboletes,Antioquia
51,Arcabuco,Boyacá
52,Arenal,Bolívar
53,Argelia,Valle del Cauca
54,Ariguaní,Magdalena
55,Arjona,Bolívar
56,Armenia,Quindío
57,Armero,Tolima
58,Arroyohondo,Bolívar
59,Astrea,Cesar
60,Ataco,Tolima
61,Ayapel,Córdoba
62,Bahía Solano,Chocó
63,Bajo Baudó,Chocó
64,Balboa,Risaralda
65,Baranoa,Atlántico
66,Baraya,Huila
67,Barbacoas,Nariño
68,Barbosa,Antioquia
69,Barbosa,Santander
70,Barichara,Santander
71,Barranca de Upía,Meta
72,Barrancabermeja,Santander
73,Barrancas,La Guajira
74,Barranquilla,Atlántico
