entidad_id,nombre_normalizado,nombre_real,tipo,subtipo,categoria,nit,cod_institucion,email,direccion,telefono,ciudad,municipio_id,departamento_id,orden,sector,naturaleza_juridica,estado,representante,total_registros,num_variantes
1,DEPARTAMENTO ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE CARTAGENA - DATT,DEPARTAMENTO ADMINISTRATIVO DE TRANSPORTE Y TRANSITO DE CARTAGENA DE INDIAS,DATT,TRANSITO,COACTIVA,,8358,COORDINADORCOACTIVO@TRANSITOCARTAGENA.GOV.CO,AV. SANTANDER. EDIFICIO MAR DEL NORTE. CRA. 2 # 46A-96. MARBELLA.,6564412,CARTAGENA DE INDIAS,167,6,TERRITORIAL,NO APLICA,DEPARTAMENTO ADMINISTRATIVO,ACTIVA,,109036,167
2,DIAN,,DIAN,,COACTIVA,,,CORRESP_ENTRADA_CALI-IMP@DIAN.GOV.CO,,,,,,,,,,,38027,3
3,GOBERNACION DE BOLIVAR,GOBERNACION DE BOLIVAR,GOBERNACION,,COACTIVA,890480059,4392,CONTACTENOS@BOLIVAR.GOV.CO,CARRETERA A TURBACO KM 3 SECTOR BAJO MIRANDA - EL CORTIJO.,6648258,,,6,TERRITORIAL,NO APLICA,GOBERNACIÓN,ACTIVA,YAMIL HERNANDO ARANA PADAUI,18050,40
4,OFICINA DE APOYO PARA LOS JUZGADOS CIVILES MUNICIPALES DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ D.C,,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,,RADICACIONJ17EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,17137,92
5,ALCALDIA DE CARTAGENA DE INDIAS,,ALCALDIA,,COACTIVA,,,COBRANZAS@CARTAGENA.GOV.CO,,,CARTAGENA DE INDIAS,167,6,,,,,,16750,179
6,ALCALDÍA DE BARRANQUILLA,,ALCALDIA,,COACTIVA,,,ATENCIONALCIUDADANO@BARRANQUILLA.GOV.CO,,,BARRANQUILLA,136,4,,,,,,14623,53
7,MUNICIPIO DE NEIVA,,MUNICIPIO,,COACTIVA,,,COBROCOACTIVO@ALCALDIANEIVA.GOV.CO,,,NEIVA,658,18,,,,,,12184,48
8,SECRETARÍA DE TRÁNSITO Y TRANSPORTE DE TURBACO,,SECRETARIA,TRANSITO,COACTIVA,,,COACTIVOTURBACO@TRANSITOTURBACO.GOV.CO,,,TURBACO,201,6,,,,,,12143,77
9,GOBERNACIÓN DEL ATLÁNTICO,,GOBERNACION,,COACTIVA,,,ATENCIONALCIUDADANO@ATLANTICO.GOV.CO,,,,,4,,,,,,10195,50
10,ALCALDÍA DE GIRÓN,ALCALDIA DE SAN JUAN DE GIRON,ALCALDIA,,COACTIVA,890204802,475,COACTIVO@GIRON-SANTANDER.GOV.CO,CRA 25 # 30 - 32,6463030,GIRÓN,931,28,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,CAMPO ELIAS RAMIREZ PADILLA,9341,97
11,ALCALDÍA MUNICIPAL DE TURBACO,ALCALDIA DE TURBACO,ALCALDIA,,COACTIVA,890481149,1213,COACTIVOTURBACO@TRANSITOTURBACO.GOV.CO,PLAZA PRINCIPAL AV MEXICO  #  17 - 804,6436408,TURBACO,201,6,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,CLAUDIA ELENA ESPINOSA PUELLO,9296,44
12,OFICINA DE APOYO DE LOS JUZGADOS CIVILES MUNICIPALES DE EJECUCIÓN DE SENTENCIA DE BARRANQUILLA,,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,,VENTANILLAJ07ECMBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BARRANQUILLA,136,4,,,,,,9216,70
13,ALCALDÍA DE MONTERÍA,ALCALDIA DE MONTERIA,ALCALDIA,,COACTIVA,800096734,431,STRANSITO@MONTERIA.GOV.CO,CALLE 27 N 3-61 EDIFICIO ANTONIO DE LA TORRE Y MIRANDA,7824835,MONTERÍA,617,15,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,HUGO FERNANDO KERGUELEN GARCIA,9037,60
14,SUPERINTENDENCIA DE SOCIEDADES,SUPERINTENDENCIA DE SOCIEDADES,SUPERINTENDENCIA,SOCIEDADES,COACTIVA,899999086,30,MEDCAUTELATESADMON@SUPERSOCIEDADES.GOV.CO,AVENIDA EL DORADO NO. 51- 80,2201000,,,,NACIONAL,COMERCIO INDUSTRIA Y TURISMO,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,ACTIVA,BILLY RAUL ANTONIO ESCOBAR PÉREZ,8894,16
15,ALCALDÍA DE VALLEDUPAR,ALCALDIA DE VALLEDUPAR,ALCALDIA,,COACTIVA,800098911,504,TRANSITO@VALLEDUPAR-CESAR.GOV.CO,"CARRERA  5 NO 15-69
PLAZA ALFONSO LÓPEZ",5755842400,VALLEDUPAR,456,12,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,ERNESTO MIGUEL OROZCO DURAN,6832,53
16,INSTITUTO DE DESARROLLO URBANO IDU,INSTITUTO DE DESARROLLO URBANO - IDU,IDU,,COACTIVA,899999081,4554,CORRESPONDENCIA@IDU.GOV.CO,CALLE 22   6  27,3386660,,,,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,ACTIVA,,6427,49
17,OFICINA DE APOYO JUZGADOS DE EJECUCIÓN CIVIL MUNICIPAL DE CARTAGENA,,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,,CSEREJCMCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CARTAGENA DE INDIAS,167,6,,,,,,6409,57
18,ALCALDÍA DE VILLAVICENCIO,ALCALDIA DE VILLAVICENCIO,ALCALDIA,,COACTIVA,892099324,1267,MOVILIDAD@VILLAVICENCIO.GOV.CO,CALLE 40 NO 33-64 CENTRO,6830101,VILLAVICENCIO,748,21,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,ALEXANDER BAQUERO SANABRIA,5433,55
19,SENA,,SENA,,COACTIVA,,,CFONSECAG@SENA.EDU.CO,,,,,,,,,,,5425,3
20,JUZGADO PRIMERO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J01CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,4599,20
21,ALCALDIA MUNICIPAL IBAGUÉ,,ALCALDIA,,COACTIVA,,,TESORERIA@IBAGUE.GOV.CO,,,IBAGUÉ,1029,30,,,,,,4425,57
22,ALCALDÍA DE ACACIAS,ALCALDIA DE ACACIAS,ALCALDIA,,COACTIVA,892001457,51,COACTIVO@ACACIAS.GOV.CO,CRA 14 NO. 13-30 CENTRO - ACACIAS.,6569997,ACACÍAS,721,21,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,CARLOS JULIO PLATA BECERRA,4177,53
23,MINISTERIO DEL TRABAJO,MINISTERIO DEL TRABAJO,MINISTERIO,TRABAJO,COACTIVA,8301152263,8007,COBROCOACTIVO@MINTRABAJO.GOV.CO,"CARRERA 7 - 31 10 EDIFICIO WORKTECH CENTER II P. H. – WTC PISOS 5, 8, 9, 10, 12, 17, 18, 19, 20, 21, 22, 23, 24 Y25",5185830,,,,NACIONAL,TRABAJO,MINISTERIO,ACTIVA,ANTONIO ERESMID SANGUINO PAEZ,4160,15
24,JUZGADO SEGUNDO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPAL02MA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,4110,19
25,EMCALI,,EMCALI,,COACTIVA,,,PAVERNAZA@EMCALI.COM.CO,,,CALI,1064,31,,,,,,3899,61
26,JUZGADO PROMISCUO MUNICIPAL,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J01PRMPALLEBRIJA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,ABEJORRAL,,,,,,,,3699,29
27,ALCALDÍA DE VILLA DEL ROSARIO,ALCALDIA DE VILLA DEL ROSARIO,ALCALDIA,,COACTIVA,890503373,1254,SECRETARIADEHACIENDA@VILLAROSARIO.GOV.CO,CALLE 5ª CARRERA 7ª ESQUINA - PALACIO MUNICIPAL,5701220,VILLA DEL ROSARIO,853,23,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,JUAN CAMILO SUAREZ SIERRA,3480,72
28,MUNICIPIO DE YONDÓ ANTIOQUIA,,MUNICIPIO,,COACTIVA,,,NOTIFICACIONESHACIENDA@YONDO.GOV.CO,,,YONDÓ,126,2,,,,,,3345,32
29,JUZGADO CUARENTA Y TRÉS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,110014189001,J43PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,BOGOTÁ D.C.,1104,5,ORDINARIA,JUDICIAL,,,GABRIELA  MORA  CONTRERAS,3190,29
30,JUZGADO CINCUENTA Y SEIS 56 DE PEQUEÑAS CAUSAS Y COMPETENCÍA MÚLTIPLE DE BOGOTA D.C,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,CMPL74BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,2962,68
31,ALCALDÍA DE NEIVA,ALCALDIA DE NEIVA,ALCALDIA,,COACTIVA,891180009,804,COBROCOACTIVO@ALCALDIANEIVA.GOV.CO,CARRERA 5 NO 9-74,8714472,NEIVA,658,18,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,GORKY MUÑOZ CALDERON,2921,48
