entidad_id,nombre_extraido,nombre_real,ciudad,email_extraido,email_real,nit,cod_institucion,orden,sector,naturaleza_juridica,tipo_institucion,direccion,telefono,pagina_web,estado,representante,cargo_representante,total_registros
1,DEPARTAMENTO ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE CARTAGENA - DATT,DEPARTAMENTO ADMINISTRATIVO DE TRANSPORTE Y TRANSITO DE CARTAGENA DE INDIAS,CARTAGENA DE INDIAS,COORDINADORCOACTIVO@TRANSITOCARTAGENA.GOV.CO,,,8358,TERRITORIAL,NO APLICA,DEPARTAMENTO ADMINISTRATIVO,VINCULADAS,AV. SANTANDER. EDIFICIO MAR DEL NORTE. CRA. 2 # 46A-96. MARBELLA.,6564412,NO DISPONIBLE,ACTIVA,,,109036
2,DIAN,,,CORRESP_ENTRADA_CALI-IMP@DIAN.GOV.CO,,,,,,,,,,,,,,38027
3,GOBERNACION DE BOLIVAR,GOBERNACION DE BOLIVAR,,CONTACTENOS@BOLIVAR.GOV.CO,,890480059,4392,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,CARRETERA A TURBACO KM 3 SECTOR BAJO MIRANDA - EL CORTIJO.,6648258,http://www.bolivar.gov.co,ACTIVA,YAMIL HERNANDO ARANA PADAUI,,18050
5,ALCALDIA DE CARTAGENA DE INDIAS,,CARTAGENA DE INDIAS,COBRANZAS@CARTAGENA.GOV.CO,,,,,,,,,,,,,,16750
6,ALCALDÍA DE BARRANQUILLA,,BARRANQUILLA,ATENCIONALCIUDADANO@BARRANQUILLA.GOV.CO,,,,,,,,,,,,,,14623
7,MUNICIPIO DE NEIVA,,NEIVA,COBROCOACTIVO@ALCALDIANEIVA.GOV.CO,,,,,,,,,,,,,,12184
8,SECRETARÍA DE TRÁNSITO Y TRANSPORTE DE TURBACO,,TURBACO,COACTIVOTURBACO@TRANSITOTURBACO.GOV.CO,,,,,,,,,,,,,,12143
9,GOBERNACIÓN DEL ATLÁNTICO,,,ATENCIONALCIUDADANO@ATLANTICO.GOV.CO,,,,,,,,,,,,,,10195
10,ALCALDÍA DE GIRÓN,ALCALDIA DE SAN JUAN DE GIRON,GIRÓN,COACTIVO@GIRON-SANTANDER.GOV.CO,,890204802,475,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CRA 25 # 30 - 32,6463030,http://www.giron-santander.gov.co,ACTIVA,CAMPO ELIAS RAMIREZ PADILLA,,9341
11,ALCALDÍA MUNICIPAL DE TURBACO,ALCALDIA DE TURBACO,TURBACO,COACTIVOTURBACO@TRANSITOTURBACO.GOV.CO,,890481149,1213,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,PLAZA PRINCIPAL AV MEXICO  #  17 - 804,6436408,http://www.turbaco-bolivar.gov.co,ACTIVA,CLAUDIA ELENA ESPINOSA PUELLO,,9296
