entidad_id,nombre_extraido,nombre_real,ciudad,email_extraido,email_real,codigo_despacho,numero_despacho,jurisdiccion,distrito,circuito,juez,direccion,telefono,area,total_registros
4,OFICINA DE APOYO PARA LOS JUZGADOS CIVILES MUNICIPALES DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ D.C,,BOGOTÁ D.C.,RADICACIONJ17EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,17137
12,OFICINA DE APOYO DE LOS JUZGADOS CIVILES MUNICIPALES DE EJECUCIÓN DE SENTENCIA DE BARRANQUILLA,,BARRANQUILLA,VENTANILLAJ07ECMBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,9216
17,OFICINA DE APOYO JUZGADOS DE EJECUCIÓN CIVIL MUNICIPAL DE CARTAGENA,,CARTAGENA DE INDIAS,CSEREJCMCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,6409
20,JUZGADO PRIMERO CIVIL MUNICIPAL,,,J01CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,4599
24,JUZGADO SEGUNDO CIVIL MUNICIPAL,,,CMPAL02MA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,4110
26,JUZGADO PROMISCUO MUNICIPAL,,ABEJORRAL,J01PRMPALLEBRIJA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,3699
29,JUZGADO CUARENTA Y TRÉS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J43PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,3190
30,JUZGADO CINCUENTA Y SEIS 56 DE PEQUEÑAS CAUSAS Y COMPETENCÍA MÚLTIPLE DE BOGOTA D.C,,BOGOTÁ D.C.,CMPL74BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,56,,,,,,,,2962
32,JUZGADO CINCUENTA Y NUEVE DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,CMPL77BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,2838
36,JUZGADO TERCERO CIVIL MUNICIPAL,,,J03CMZIP@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2549
39,JUZGADO 40 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C,,BOGOTÁ D.C.,J40PCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,40,,,,,,,,2449
40,DIRECCIÓN EJECUTIVA DE ADMINISTRACIÓN JUDICIAL,,CALI,NOTICOACTIVO@DEAJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2294
42,JUZGADO CUARTO CIVIL MUNICIPAL,,,J04CMBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2213
43,JUZGADO NOVENO CIVIL MUNICIPAL,,,CMPL09BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2184
46,JUZGADO 60 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D. C.,,BOGOTÁ D.C.,CMPL78BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,60,,,,,,,,2122
49,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,MEDELLÍN,J05CMPCCMON@CENDOJ.RAMAJUDICIAL.GOV.CO,,050014189001,,ORDINARIA,MEDELLÍN,MEDELLÍN,MARIA CLARA GIRALDO ACEVEDO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,JUDICIAL,2036
50,JUZGADO PRIMERO PROMISCUO MUNICIPAL,,,J01PRMPALVILLAM@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2026
51,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,MEDELLÍN,J02PQCCMMON@CENDOJ.RAMAJUDICIAL.GOV.CO,,050014189001,,ORDINARIA,MEDELLÍN,MEDELLÍN,MARIA CLARA GIRALDO ACEVEDO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,JUDICIAL,2014
52,JUZGADO TREINTA Y UNO CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL31BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2012
53,JUZGADO QUINTO CIVIL MUNICIPAL,,,J05CMPALPIEDECUESTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1930
54,JUZGADO SEGUNDO PROMISCUO MUNICIPAL,,,J02PRMPALTEBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1928
