similitud,child_id,child_nombre,child_tipo,child_registros,child_municipio,child_departamento,parent_id,parent_nombre,parent_registros,parent_municipio,parent_departamento
0.918,67,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,JUZGADO,1633,Bogotá,"Bogotá, D.C.",49,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,2036,,
0.901,135,Juzgado Segundo de Pequeñas Causas y Competencias Múltiples,JUZGADO,913,,,69,Juzgado Segundo de Pequeñas Causas y Competencias Múltiples de Cartagena,1604,Cartagena de Indias,Bolívar
0.882,164,JUZGADO NOVENO CIVIL MUNICIPAL DE CALI,JUZGADO,811,,Valle del Cauca,43,JUZGADO NOVENO CIVIL MUNICIPAL,2184,,
0.881,173,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,JUZGADO,798,,,88,Juzgado Tercero de Pequeñas Causas y Competencias Múltiples de Barranquilla,1265,Barranquilla,Atlántico
0.929,187,JUZGADO CUARENTA Y TRÉS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,728,,,29,JUZGADO CUARENTA Y TRÉS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,3190,Bogotá,"Bogotá, D.C."
0.896,188,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE CARTAGENA,JUZGADO,724,Cartagena de Indias,Bolívar,149,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple,860,,
0.891,214,Juzgado Tercero de Pequeñas Causas y Competencia Múltiple Ibagué - Tolima,JUZGADO,659,Ibagué,Tolima,125,Juzgado Tercero de Pequeñas Causas y Competencia Múltiple,937,,
0.919,229,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE CÚCUTA,JUZGADO,611,Cúcuta,Norte de Santander,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
0.902,249,Juzgado Civil Municipal,JUZGADO,582,,,73,Juzgado Once Civil Municipal,1530,,
0.887,256,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE SANTA MARTA,JUZGADO,570,Santa Marta,Magdalena,135,Juzgado Segundo de Pequeñas Causas y Competencias Múltiples,913,,
0.881,272,Juzgado Segundo de Pequeñas Causas y Competencias Múltiples De Barranquilla,JUZGADO,546,Barranquilla,Atlántico,135,Juzgado Segundo de Pequeñas Causas y Competencias Múltiples,913,,
0.886,288,JUZGADO TERCERO CIVIL MUNICIPAL DE CALI,JUZGADO,526,,Valle del Cauca,36,JUZGADO TERCERO CIVIL MUNICIPAL,2549,,
0.884,296,JUZGADO CUARENTA Y DOS CIVIL MUNICIPAL DE BOGOTA,JUZGADO,514,Bogotá,"Bogotá, D.C.",102,JUZGADO CUARENTA Y DOS CIVIL MUNICIPAL,1158,,
